Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
FOXS1	FKHL18, FREAC10	ENSG00000179772	Forkhead box S1	20	31844301-31845619	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042475	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.10e-8 (unfavourable)	Expressed in all	Mixed			placenta: 7.0	Cell line enhanced		EFO-21: 3.0;RH-30: 10.5;U-2 OS: 15.0;U-251 MG: 3.6
GABPA	E4TF1-60, E4TF1A, NFT2, NRF2, NRF2A	ENSG00000154727	GA binding protein transcription factor alpha subunit	21	25734570-25772460	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003258, CAB004411, HPA028791	Supported		Enhanced	Nucleoplasm	Renal cancer:3.97e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 38.1	Expressed in all		
GATA1	ERYF1, GATA-1, GF1, NF-E1, NFE1	ENSG00000102145	GATA binding protein 1	X	48786554-48794311	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000232, HPA000233, CAB009195	Enhanced					Not detected	Tissue enriched	19	bone marrow: 33.2	testis: 1.7	Group enriched	12	HEL: 182.0;HMC-1: 176.5;K-562: 196.6
GATA2	NFE1B	ENSG00000179348	GATA binding protein 2	3	128479427-128493185	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005633, CAB024847	Approved		Supported	Nucleoplasm	Urothelial cancer:5.22e-5 (favourable), Renal cancer:2.04e-4 (favourable)	Expressed in all	Tissue enhanced		prostate: 62.7;seminal vesicle: 74.7	endometrium: 40.5	Cell line enhanced		BEWO: 272.0;HEL: 324.7;HMC-1: 165.0;SH-SY5Y: 347.2
GATA3	HDR	ENSG00000107485	GATA binding protein 3	10	8053604-8075198	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB016217, HPA029730	Enhanced		Supported	Nucleoplasm	Renal cancer:3.13e-4 (unfavourable)	Group enriched	Tissue enhanced		parathyroid gland: 235.0;skin: 148.9	placenta: 44.3	Cell line enhanced		BEWO: 172.2;MCF7: 354.3;RT4: 149.5;SH-SY5Y: 145.4;T-47d: 506.9
GATA4		ENSG00000136574	GATA binding protein 4	8	11676959-11760002	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB013125, HPA073899	Uncertain		Supported	Nuclear bodies		Tissue enhanced	Tissue enhanced		duodenum: 72.5;heart muscle: 59.0;ovary: 111.8	testis: 51.5	Cell line enhanced		HEK 293: 11.9;Hep G2: 21.2;HHSteC: 31.6;SH-SY5Y: 45.2
GATA5	bB379O24.1, GATAS	ENSG00000130700	GATA binding protein 5	20	62463497-62475970	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067583			Approved	Nucleoplasm<br>Cytosol		Tissue enhanced	Tissue enhanced		duodenum: 11.4;small intestine: 11.0;testis: 8.7	stomach: 7.5	Cell line enhanced		HEL: 2.6;K-562: 4.2;SiHa: 2.1;T-47d: 4.4
GATA6		ENSG00000141448	GATA binding protein 6	18	22169443-22202528	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011581, HPA066629	Uncertain		Supported	Nucleus	Renal cancer:1.92e-9 (unfavourable)	Tissue enhanced	Mixed			adrenal gland: 50.8	Cell line enhanced		BEWO: 51.6;CACO-2: 55.5
GATAD1	FLJ22489, ODAG, RG083M05.2	ENSG00000157259	GATA zinc finger domain containing 1	7	92447453-92458836	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006105, HPA072785			Supported	Nucleus		Expressed in all	Expressed in all			thyroid gland: 42.3	Expressed in all		
GATAD2A	p66alpha	ENSG00000167491	GATA zinc finger domain containing 2A	19	19385826-19508931	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006759, HPA024373	Enhanced		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			testis: 64.1	Expressed in all		
GATAD2B	P66beta	ENSG00000143614	GATA zinc finger domain containing 2B	1	153789030-153923360	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA017015	Approved		Enhanced	Nucleoplasm	Colorectal cancer:1.30e-4 (unfavourable), Renal cancer:3.08e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 19.7	Expressed in all		
GBX1		ENSG00000164900	Gastrulation brain homeobox 1	7	151148589-151174745	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055783	Uncertain					Tissue enhanced	Group enriched	57	skeletal muscle: 4.4;testis: 6.9	all non-specific tissues: 0.0	Cell line enhanced		HMC-1: 1.4
GBX2		ENSG00000168505	Gastrulation brain homeobox 2	2	236165236-236168369	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067809			Approved	Nucleoplasm		Group enriched	Not detected			cerebral cortex: 0.6	Cell line enhanced		AF22: 47.4;PC-3: 13.2
GCM1	GCMA, hGCMa	ENSG00000137270	Glial cells missing homolog 1	6	53126964-53148829	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA011343	Enhanced		Approved	Vesicles		Not detected	Tissue enriched	21	placenta: 29.1	kidney: 1.3	Cell line enriched	25	BEWO: 38.0
GCM2	GCMB, hGCMb	ENSG00000124827	Glial cells missing homolog 2	6	10873223-10881941	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Not detected	Tissue enriched	997	parathyroid gland: 774.1	testis: 0.7	Not detected		
GFI1	GFI-1, GFI1A, ZNF163	ENSG00000162676	Growth factor independent 1 transcriptional repressor	1	92474762-92486876	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011197	Uncertain				Colorectal cancer:5.68e-5 (favourable)	Mixed	Tissue enhanced		bone marrow: 34.8	lymph node: 8.1	Cell line enhanced		HL-60: 49.8;HMC-1: 42.0;THP-1: 86.5;U-937: 207.4
GFI1B	ZNF163B	ENSG00000165702	Growth factor independent 1B transcriptional repressor	9	132944000-132991687	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004420	Enhanced					Not detected	Tissue enriched	15	bone marrow: 23.8	testis: 1.5	Group enriched	6	HEL: 151.4;HMC-1: 92.4;K-562: 47.5
GLI1	GLI	ENSG00000111087	GLI family zinc finger 1	12	57460135-57472262	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009460, HPA065172, HPA068903	Uncertain		Enhanced	Nucleoplasm<br>Cytosol		Tissue enhanced	Tissue enhanced		cervix, uterine: 15.1;endometrium: 15.1	gallbladder: 8.5	Cell line enhanced		AN3-CA: 19.3;RH-30: 59.1
GLI2	HPE9, THP1, THP2	ENSG00000074047	GLI family zinc finger 2	2	120735623-120992653	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB008558, HPA074275	Approved		Supported	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		ovary: 11.6	gallbladder: 6.0	Cell line enhanced		AF22: 30.8;U-2 OS: 33.2;WM-115: 27.2
GLI3	ACLS, GCPS, PAP-A, PAPA, PAPA1, PAPB, PHS, PPDIV	ENSG00000106571	GLI family zinc finger 3	7	41960950-42237870	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005534	Approved					Mixed	Mixed			endometrium: 15.9	Cell line enhanced		AF22: 44.3;WM-115: 32.9
GLI4	HKR4, ZNF928	ENSG00000250571	GLI family zinc finger 4	8	143267433-143276931	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023131	Uncertain		Approved	Nucleus<br>Cytokinetic bridge		Expressed in all	Expressed in all			spleen: 8.8	Expressed in all		
GLIS1	FLJ36155	ENSG00000174332	GLIS family zinc finger 1	1	53506237-53738106	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA001409	Uncertain					Tissue enhanced	Tissue enhanced		seminal vesicle: 11.0	prostate: 3.6	Cell line enhanced		BJ hTERT+: 3.7;PC-3: 6.7;U-138 MG: 5.0
GLIS2	NPHP7	ENSG00000126603	GLIS family zinc finger 2	16	4314761-4339597	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056976			Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:8.06e-6 (favourable), Endometrial cancer:1.59e-5 (unfavourable)	Expressed in all	Mixed			gallbladder: 9.7	Cell line enhanced		U-2197: 35.6
GLIS3	MGC33662, ZNF515	ENSG00000107249	GLIS family zinc finger 3	9	3824127-4348392	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA056426	Approved		Supported	Nucleoplasm		Mixed	Tissue enhanced		thyroid gland: 34.9	fallopian tube: 16.6	Cell line enhanced		BJ hTERT+: 19.2;HSkMC: 25.2
GMEB1	P96PIF, PIF96	ENSG00000162419	Glucocorticoid modulatory element binding protein 1	1	28668732-28719353	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044811, HPA052975	Supported		Enhanced	Nucleoplasm	Liver cancer:8.91e-7 (unfavourable), Endometrial cancer:1.94e-4 (favourable)	Expressed in all	Mixed			bone marrow: 8.5	Expressed in all		
GMEB2	KIAA1269, P79PIF, PIF79	ENSG00000101216	Glucocorticoid modulatory element binding protein 2	20	63587602-63627041	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA009706, HPA067455	Approved		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			testis: 12.8	Expressed in all		
GRHL1	LBP-32, MGR, TFCP2L2	ENSG00000134317	Grainyhead like transcription factor 1	2	9951693-10002277	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005798, HPA006420	Enhanced		Enhanced	Nucleus<br>Golgi apparatus<br>Vesicles		Mixed	Tissue enhanced		esophagus: 111.4;skin: 106.8	parathyroid gland: 50.3	Cell line enhanced		BEWO: 205.8;SK-BR-3: 84.4
GRHL2	BOM, DFNA28, FLJ13782, TFCP2L3	ENSG00000083307	Grainyhead like transcription factor 2	8	101492432-101669726	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004820, HPA062839	Uncertain		Supported	Nucleoplasm	Pancreatic cancer:6.27e-4 (unfavourable), Breast cancer:6.43e-4 (unfavourable)	Mixed	Mixed			prostate: 37.3	Cell line enhanced		A-431: 34.0;HaCaT: 40.9;RT4: 54.7;T-47d: 74.7
GRHL3	SOM, TFCP2L4	ENSG00000158055	Grainyhead like transcription factor 3	1	24319322-24364482	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA059960	Enhanced		Approved	Nucleoplasm		Tissue enhanced	Group enriched	11	esophagus: 85.1;skin: 50.1;tonsil: 22.6;urinary bladder: 28.1	testis: 4.3	Cell line enhanced		BEWO: 43.8;HaCaT: 32.1;MCF7: 43.8;RT4: 51.5
GSC		ENSG00000133937	Goosecoid homeobox	14	94768216-94770230	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA075650			Approved	Nucleus<br>Nuclear bodies		Mixed	Tissue enhanced		adipose tissue: 2.1	breast: 1.1	Cell line enhanced		HEK 293: 1.7;MCF7: 2.1;REH: 2.6;SH-SY5Y: 3.3;T-47d: 2.1;U-251 MG: 1.8
GSC2	GSCL	ENSG00000063515	Goosecoid homeobox 2	22	19148576-19150283	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA043011	Uncertain					Not detected	Tissue enriched	31	testis: 3.0	all non-specific tissues: 0.0	Not detected		
GSX1	Gsh-1, GSH1	ENSG00000169840	GS homeobox 1	13	27792643-27794768	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enriched	Not detected			cerebral cortex: 0.7	Not detected		
GSX2	Gsh2	ENSG00000180613	GS homeobox 2	4	54099523-54102505	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Tissue enriched	Not detected			testis: 0.4	Not detected		
GTF3A	AP2, TFIIIA	ENSG00000122034	General transcription factor IIIA	13	27424544-27435823	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA007990	Supported		Supported	Nucleus	Renal cancer:3.43e-6 (unfavourable)	Expressed in all	Expressed in all			lymph node: 122.3	Expressed in all		
GZF1	dJ322G13.2, ZBTB23, ZNF336	ENSG00000125812	GDNF inducible zinc finger protein 1	20	23362182-23373063	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA024520	Uncertain		Supported	Nucleus<br>Nucleoli	Liver cancer:9.81e-7 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 25.3	Expressed in all		
HAND1	bHLHa27, eHand, Hxt, Thing1	ENSG00000113196	Heart and neural crest derivatives expressed 1	5	154474972-154478264	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA040925	Approved		Uncertain	Nucleus<br>Nuclear membrane		Group enriched	Tissue enhanced		smooth muscle: 16.8	adrenal gland: 6.2	Cell line enriched	8	SH-SY5Y: 123.7
HAND2	bHLHa26, dHand, Hed, Thing2	ENSG00000164107	Heart and neural crest derivatives expressed 2	4	173524969-173530229	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA019591, CAB025576	Approved		Supported	Nucleoplasm<br>Vesicles		Tissue enhanced	Tissue enhanced		endometrium: 83.9	smooth muscle: 77.9	Cell line enriched	21	SH-SY5Y: 660.2
HBP1		ENSG00000105856	HMG-box transcription factor 1	7	107168961-107202529	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA020225, CAB032824	Approved		Enhanced	Nuclear speckles	Renal cancer:7.70e-5 (favourable)	Expressed in all	Expressed in all			thyroid gland: 54.2	Expressed in all		
HDX	CXorf43, FLJ30678	ENSG00000165259	Highly divergent homeobox	X	84317874-84502479	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047189	Uncertain		Approved	Cytosol		Mixed	Mixed			cerebral cortex,endometrium: 3.8	Mixed		
HELT	bHLHb44, HCM1228, HESL, MEGANE, Mgn	ENSG00000187821	Helt bHLH transcription factor	4	185018841-185020804	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA036188, HPA036189	Uncertain					Not detected	Not detected			lung: 0.5	Cell line enhanced		HAP1: 1.4
HES1	bHLHb39, FLJ20408, HES-1, Hes1, HRY	ENSG00000114315	Hes family bHLH transcription factor 1	3	194136145-194138732	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA066929			Supported	Nucleus	Urothelial cancer:2.04e-5 (favourable)	Expressed in all	Mixed			thyroid gland: 97.8	Mixed		
HES2	bHLHb40	ENSG00000069812	Hes family bHLH transcription factor 2	1	6412418-6424670	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA039462	Uncertain					Mixed	Tissue enhanced		skin: 17.0	placenta: 9.8	Cell line enhanced		BEWO: 19.0;HaCaT: 33.0;HBEC3-KT: 23.1;TIME: 44.9
HES3	bHLHb43	ENSG00000173673	Hes family bHLH transcription factor 3	1	6244192-6245578	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA047927, HPA072697	Uncertain		Uncertain	Nucleus		Tissue enriched	Not detected			testis: 0.1	Cell line enriched	7	NTERA-2: 11.3
HES4	bHLHb42	ENSG00000188290	Hes family bHLH transcription factor 4	1	998962-1000172	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062465			Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Liver cancer:2.99e-4 (unfavourable), Endometrial cancer:3.85e-4 (favourable), Renal cancer:6.27e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 7.5	Cell line enriched	8	HEK 293: 180.2
HES5	bHLHb38	ENSG00000197921	Hes family bHLH transcription factor 5	1	2528745-2530245	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA065458, HPA076164	Enhanced		Approved	Nucleoplasm<br>Nuclear speckles<br>Cytosol		Tissue enhanced	Tissue enhanced		cerebral cortex: 1.8	skin: 0.9	Cell line enhanced		HaCaT: 1.1
HES6	bHLHb41	ENSG00000144485	Hes family bHLH transcription factor 6	2	238238267-238240662	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA061763			Approved	Nucleus<br>Nucleoli<br>Nuclear bodies<br>Cytosol	Lung cancer:9.18e-5 (favourable), Liver cancer:2.79e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 76.8	fallopian tube: 22.3	Cell line enhanced		NB-4: 122.5;SCLC-21H: 144.1;SK-MEL-30: 141.7
HES7	bHLHb37	ENSG00000179111	Hes family bHLH transcription factor 7	17	8120590-8124092	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA072105	Uncertain		Approved	Nucleoplasm		Not detected	Tissue enhanced		placenta: 1.1	testis: 0.9	Cell line enhanced		HAP1: 8.4;HDLM-2: 6.2;HeLa: 8.1
HESX1	ANF, RPX	ENSG00000163666	HESX homeobox 1	3	57197843-57226521	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA024187	Approved		Approved	Nucleus		Tissue enhanced	Tissue enhanced		testis: 12.4	skin: 5.4	Cell line enhanced		NTERA-2: 73.5;U-266/84: 17.0
HEY1	bHLHb31, CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1	ENSG00000164683	Hes related family bHLH transcription factor with YRPW motif 1	8	79764010-79767863	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055599, HPA063472	Uncertain		Approved	Nucleoplasm<br>Nuclear membrane<br>Cytosol		Expressed in all	Tissue enhanced		cerebral cortex: 96.4	placenta: 28.8	Cell line enhanced		HEK 293: 120.1;SK-MEL-30: 70.9
HEY2	bHLHb32, HERP1, HESR2	ENSG00000135547	Hes related family bHLH transcription factor with YRPW motif 2	6	125747664-125761269	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030205, HPA074851	Approved		Approved	Nuclear bodies<br>Aggresome		Expressed in all	Mixed			fallopian tube: 21.6	Cell line enhanced		HEK 293: 6.3;SK-MEL-30: 5.0;TIME: 11.9;U-266/70: 13.2
HEYL	bHLHb33, HESR3, HEY3	ENSG00000163909	Hes related family bHLH transcription factor with YRPW motif-like	1	39624153-39639945	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001438, HPA076960	Approved		Approved	Mitochondria<br>Cytosol	Renal cancer:2.26e-6 (unfavourable), Urothelial cancer:2.63e-5 (unfavourable), Stomach cancer:3.57e-4 (unfavourable)	Expressed in all	Mixed			placenta: 44.4	Cell line enhanced		LHCN-M2: 18.5;RH-30: 26.3
HHEX	HEX, HOX11L-PEN, PRHX	ENSG00000152804	Hematopoietically expressed homeobox	10	92689951-92695646	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051894, HPA055460	Approved		Approved	Nucleoplasm<br>Mitochondria	Renal cancer:3.25e-5 (unfavourable), Cervical cancer:3.91e-5 (favourable), Liver cancer:6.23e-4 (unfavourable), Breast cancer:8.83e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 164.8	Cell line enhanced		HEL: 89.2;HMC-1: 92.9;HUVEC TERT2: 88.4;K-562: 137.7
HIC1	ZBTB29, ZNF901	ENSG00000177374	HIC ZBTB transcriptional repressor 1	17	2054154-2063241	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043372	Uncertain		Supported	Nucleoplasm<br>Cytosol	Renal cancer:9.36e-6 (unfavourable)	Expressed in all	Mixed			endometrium: 16.3	Cell line enhanced		BJ: 10.1;TIME: 10.1
